name,origin,uc_id,uc_file,uc_date,uc_origin,uc_source_url,uc_repo,uc_ai_model,uc_temperature,uc_top_p,uc_title,uc_actors,uc_num_of_steps,uc_num_of_alt_scenarions,uc_num_of_err_scenarions,seq_id,seq_file,seq_date,seq_origin,seq_source_url,seq_repo,seq_ai_model,seq_temperature,seq_top_p,seq_actors,seq_num_of_participats,seq_title,seq_num_of_alt,seq_num_of_opt,seq_num_of_loop
Structural Fire Fighting,semi-synthetic,4,uc\00004_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/main/StructuralFire.md,SAREC-Lab/sUAS-UseCases,,0,0,Structural Fire Fighting,2,10,0,1,31,seq_gen\00031_seq_gen.puml,2025-04-27,chatgpt,,,gpt-3.5-turbo-0125,1.0,1,2,3,,0,0,0
Structural Fire Fighting,semi-synthetic,4,uc\00004_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/main/StructuralFire.md,SAREC-Lab/sUAS-UseCases,,0,0,Structural Fire Fighting,2,10,0,1,32,seq_gen\00032_seq_gen.puml,2025-04-27,chatgpt,,,gpt-3.5-turbo-0125,1,0.6,0,2,,0,0,0
Structural Fire Fighting,semi-synthetic,4,uc\00004_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/main/StructuralFire.md,SAREC-Lab/sUAS-UseCases,,0,0,Structural Fire Fighting,2,10,0,1,33,seq_gen\00033_seq_gen.puml,2025-04-27,chatgpt,,,gpt-3.5-turbo-0125,1.2,1,2,2,,0,0,0
Structural Fire Fighting,semi-synthetic,4,uc\00004_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/main/StructuralFire.md,SAREC-Lab/sUAS-UseCases,,0,0,Structural Fire Fighting,2,10,0,1,34,seq_gen\00034_seq_gen.puml,2025-04-27,chatgpt,,,gpt-3.5-turbo-0125,1,0.8,0,2,,0,0,0
Structural Fire Fighting,semi-synthetic,4,uc\00004_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/main/StructuralFire.md,SAREC-Lab/sUAS-UseCases,,0,0,Structural Fire Fighting,2,10,0,1,35,seq_gen\00035_seq_gen.puml,2025-04-27,chatgpt,,,gpt-3.5-turbo-0125,1,1,2,2,,0,0,0
Environmental Sampling and Analysis,semi-synthetic,5,uc\00005_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/main/EnvironmentalSampling.md,SAREC-Lab/sUAS-UseCases,,0,0,Environmental Sampling and Analysis,2,10,0,0,36,seq_gen\00036_seq_gen.puml,2025-04-27,chatgpt,,,gpt-3.5-turbo-0125,0.6,1,2,5,Environmental Sampling and Analysis,0,0,0
Environmental Sampling and Analysis,semi-synthetic,5,uc\00005_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/main/EnvironmentalSampling.md,SAREC-Lab/sUAS-UseCases,,0,0,Environmental Sampling and Analysis,2,10,0,0,37,seq_gen\00037_seq_gen.puml,2025-04-27,chatgpt,,,gpt-3.5-turbo-0125,1,0.2,2,6,Environmental Sampling and Analysis,0,0,0
Environmental Sampling and Analysis,semi-synthetic,5,uc\00005_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/main/EnvironmentalSampling.md,SAREC-Lab/sUAS-UseCases,,0,0,Environmental Sampling and Analysis,2,10,0,0,38,seq_gen\00038_seq_gen.puml,2025-04-27,chatgpt,,,gpt-3.5-turbo-0125,0.8,1,2,3,Environmental Sampling and Analysis,0,0,0
Environmental Sampling and Analysis,semi-synthetic,5,uc\00005_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/main/EnvironmentalSampling.md,SAREC-Lab/sUAS-UseCases,,0,0,Environmental Sampling and Analysis,2,10,0,0,39,seq_gen\00039_seq_gen.puml,2025-04-27,chatgpt,,,gpt-3.5-turbo-0125,1,0.4,2,6,Environmental Sampling and Analysis,0,0,0
Environmental Sampling and Analysis,semi-synthetic,5,uc\00005_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/main/EnvironmentalSampling.md,SAREC-Lab/sUAS-UseCases,,0,0,Environmental Sampling and Analysis,2,10,0,0,40,seq_gen\00040_seq_gen.puml,2025-04-27,chatgpt,,,gpt-3.5-turbo-0125,1.0,1,2,5,,0,0,0
Environmental Sampling and Analysis,semi-synthetic,5,uc\00005_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/main/EnvironmentalSampling.md,SAREC-Lab/sUAS-UseCases,,0,0,Environmental Sampling and Analysis,2,10,0,0,41,seq_gen\00041_seq_gen.puml,2025-04-27,chatgpt,,,gpt-3.5-turbo-0125,1,0.6,2,4,Environmental Sampling and Analysis,0,0,0
Environmental Sampling and Analysis,semi-synthetic,5,uc\00005_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/main/EnvironmentalSampling.md,SAREC-Lab/sUAS-UseCases,,0,0,Environmental Sampling and Analysis,2,10,0,0,42,seq_gen\00042_seq_gen.puml,2025-04-27,chatgpt,,,gpt-3.5-turbo-0125,1.2,1,0,8,Environmental Sampling and Analysis,0,0,0
Environmental Sampling and Analysis,semi-synthetic,5,uc\00005_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/main/EnvironmentalSampling.md,SAREC-Lab/sUAS-UseCases,,0,0,Environmental Sampling and Analysis,2,10,0,0,43,seq_gen\00043_seq_gen.puml,2025-04-27,chatgpt,,,gpt-3.5-turbo-0125,1,0.8,2,6,Environmental Sampling and Analysis,0,0,0
Environmental Sampling and Analysis,semi-synthetic,5,uc\00005_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/main/EnvironmentalSampling.md,SAREC-Lab/sUAS-UseCases,,0,0,Environmental Sampling and Analysis,2,10,0,0,44,seq_gen\00044_seq_gen.puml,2025-04-27,chatgpt,,,gpt-3.5-turbo-0125,1.4,1,0,3,Environmental Sampling and Analysis,0,0,0
Environmental Sampling and Analysis,semi-synthetic,5,uc\00005_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/main/EnvironmentalSampling.md,SAREC-Lab/sUAS-UseCases,,0,0,Environmental Sampling and Analysis,2,10,0,0,45,seq_gen\00045_seq_gen.puml,2025-04-27,chatgpt,,,gpt-3.5-turbo-0125,1,1,2,8,,0,0,0
Activate and Arm,semi-synthetic,6,uc\00006_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/supporting/ActivateAndArm.md,SAREC-Lab/sUAS-UseCases,,0,0,Activate and Arm,2,7,0,2,46,seq_gen\00046_seq_gen.puml,2025-04-27,chatgpt,,,gpt-3.5-turbo-0125,0.6,1,0,6,,0,0,0
Activate and Arm,semi-synthetic,6,uc\00006_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/supporting/ActivateAndArm.md,SAREC-Lab/sUAS-UseCases,,0,0,Activate and Arm,2,7,0,2,47,seq_gen\00047_seq_gen.puml,2025-04-27,chatgpt,,,gpt-3.5-turbo-0125,1,0.2,2,4,,0,0,0
Activate and Arm,semi-synthetic,6,uc\00006_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/supporting/ActivateAndArm.md,SAREC-Lab/sUAS-UseCases,,0,0,Activate and Arm,2,7,0,2,48,seq_gen\00048_seq_gen.puml,2025-04-27,chatgpt,,,gpt-3.5-turbo-0125,0.8,1,0,4,,0,0,0
Activate and Arm,semi-synthetic,6,uc\00006_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/supporting/ActivateAndArm.md,SAREC-Lab/sUAS-UseCases,,0,0,Activate and Arm,2,7,0,2,49,seq_gen\00049_seq_gen.puml,2025-04-27,chatgpt,,,gpt-3.5-turbo-0125,1,0.4,2,4,,0,0,0
Activate and Arm,semi-synthetic,6,uc\00006_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/supporting/ActivateAndArm.md,SAREC-Lab/sUAS-UseCases,,0,0,Activate and Arm,2,7,0,2,50,seq_gen\00050_seq_gen.puml,2025-04-27,chatgpt,,,gpt-3.5-turbo-0125,1,0.6,0,6,Activate and Arm,0,0,0
Activate and Arm,semi-synthetic,6,uc\00006_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/supporting/ActivateAndArm.md,SAREC-Lab/sUAS-UseCases,,0,0,Activate and Arm,2,7,0,2,51,seq_gen\00051_seq_gen.puml,2025-04-27,chatgpt,,,gpt-3.5-turbo-0125,1.2,1,0,7,,3,0,0
Activate and Arm,semi-synthetic,6,uc\00006_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/supporting/ActivateAndArm.md,SAREC-Lab/sUAS-UseCases,,0,0,Activate and Arm,2,7,0,2,52,seq_gen\00052_seq_gen.puml,2025-04-27,chatgpt,,,gpt-3.5-turbo-0125,1,0.8,2,5,Activate and Arm,0,0,0
Activate and Arm,semi-synthetic,6,uc\00006_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/supporting/ActivateAndArm.md,SAREC-Lab/sUAS-UseCases,,0,0,Activate and Arm,2,7,0,2,53,seq_gen\00053_seq_gen.puml,2025-04-27,chatgpt,,,gpt-3.5-turbo-0125,1.4,1,2,4,,0,0,0
Activate and Arm,semi-synthetic,6,uc\00006_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/supporting/ActivateAndArm.md,SAREC-Lab/sUAS-UseCases,,0,0,Activate and Arm,2,7,0,2,54,seq_gen\00054_seq_gen.puml,2025-04-27,chatgpt,,,gpt-3.5-turbo-0125,1,1,0,5,,0,0,0
Active Tracking,semi-synthetic,7,uc\00007_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/supporting/ActiveTracking.md,SAREC-Lab/sUAS-UseCases,,0,0,Active Tracking,2,6,0,1,55,seq_gen\00055_seq_gen.puml,2025-04-27,chatgpt,,,gpt-3.5-turbo-0125,0.6,1,2,2,,0,0,0
Active Tracking,semi-synthetic,7,uc\00007_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/supporting/ActiveTracking.md,SAREC-Lab/sUAS-UseCases,,0,0,Active Tracking,2,6,0,1,56,seq_gen\00056_seq_gen.puml,2025-04-27,chatgpt,,,gpt-3.5-turbo-0125,1,0.2,2,2,,0,0,0
Active Tracking,semi-synthetic,7,uc\00007_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/supporting/ActiveTracking.md,SAREC-Lab/sUAS-UseCases,,0,0,Active Tracking,2,6,0,1,57,seq_gen\00057_seq_gen.puml,2025-04-27,chatgpt,,,gpt-3.5-turbo-0125,0.8,1,2,2,Active Tracking,0,0,0
Active Tracking,semi-synthetic,7,uc\00007_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/supporting/ActiveTracking.md,SAREC-Lab/sUAS-UseCases,,0,0,Active Tracking,2,6,0,1,58,seq_gen\00058_seq_gen.puml,2025-04-27,chatgpt,,,gpt-3.5-turbo-0125,1,0.4,2,2,,0,0,0
Active Tracking,semi-synthetic,7,uc\00007_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/supporting/ActiveTracking.md,SAREC-Lab/sUAS-UseCases,,0,0,Active Tracking,2,6,0,1,59,seq_gen\00059_seq_gen.puml,2025-04-27,chatgpt,,,gpt-3.5-turbo-0125,1.0,1,1,3,Active Tracking,0,0,0
Active Tracking,semi-synthetic,7,uc\00007_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/supporting/ActiveTracking.md,SAREC-Lab/sUAS-UseCases,,0,0,Active Tracking,2,6,0,1,60,seq_gen\00060_seq_gen.puml,2025-04-27,chatgpt,,,gpt-3.5-turbo-0125,1,0.6,2,2,,0,0,0
Active Tracking,semi-synthetic,7,uc\00007_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/supporting/ActiveTracking.md,SAREC-Lab/sUAS-UseCases,,0,0,Active Tracking,2,6,0,1,61,seq_gen\00061_seq_gen.puml,2025-04-27,chatgpt,,,gpt-3.5-turbo-0125,1.2,1,2,2,,0,0,0
